file,width,height,overall,error,white_pass,white_pX,white_pctBelow,white_min,white_median,white_count,white_worst,black_pass,black_pX,black_pctBelow,black_min,black_median,black_count,black_worst
symbols\10.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\100.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1000.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10000.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10001.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10002.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10003.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10005.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10006.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10007.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10009.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1001.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10010.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10011.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10012.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10013.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10014.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10015.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10016.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10017.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10018.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10019.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1002.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10020.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10021.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10022.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10023.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10024.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10025.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10026.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10027.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10028.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10029.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1003.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10030.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10031.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10032.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10034.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10035.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10036.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10037.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10038.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10039.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1004.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10040.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10041.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10042.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10043.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10044.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10045.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10046.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10047.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10048.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10049.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
